,year,brand,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count,published_at
1,2020,Bud Light,True,True,False,True,True,False,False,47752.0,485.0,14.0,14.0,2020-01-31T21:04:13Z
2,2006,Bud Light,True,False,False,False,True,True,False,142310.0,129.0,15.0,9.0,2006-02-06T10:02:36Z
3,2018,Hynudai,False,True,False,False,False,False,False,198.0,2.0,0.0,0.0,2018-03-09T15:40:18Z
4,2003,Bud Light,True,True,False,False,True,True,True,13741.0,20.0,3.0,2.0,2006-07-18T04:53:42Z
5,2020,Toyota,True,True,False,True,True,True,False,23636.0,115.0,11.0,13.0,2020-02-02T21:21:27Z
6,2020,Coca-Cola,True,False,False,True,False,True,False,304254.0,1470.0,384.0,227.0,2020-01-31T14:58:00Z
7,2020,Kia,False,False,False,True,False,False,False,17892.0,78.0,6.0,6.0,2020-01-31T04:37:27Z
8,2020,Hynudai,True,True,False,True,False,True,False,38385.0,342.0,7.0,30.0,2021-01-27T13:11:29Z
9,2020,Budweiser,False,True,True,True,True,False,False,782.0,7.0,0.0,0.0,2020-01-24T14:04:00Z
10,2010,Hynudai,False,True,True,False,False,False,False,68458.0,46.0,14.0,8.0,2010-02-04T19:28:02Z
11,2010,Bud Light,True,False,False,False,True,False,True,3805.0,9.0,0.0,1.0,2010-02-08T04:17:09Z
12,2007,Budweiser,True,True,False,False,False,True,True,184689.0,133.0,24.0,13.0,2007-02-05T03:16:09Z
13,2002,Budweiser,False,True,True,False,False,True,False,121400.0,642.0,10.0,50.0,2014-09-11T08:13:48Z
14,2020,NFL,False,False,True,True,False,False,False,26727063.0,175429.0,7445.0,8441.0,2020-02-03T00:21:31Z
15,2017,NFL,False,True,False,False,False,False,False,865781.0,2315.0,130.0,162.0,2017-02-03T15:08:17Z
16,2005,Bud Light,True,True,False,False,True,True,True,8990.0,29.0,0.0,3.0,2008-02-01T00:07:51Z
17,2009,Pepsi,True,False,False,False,True,False,False,129399.0,345.0,12.0,42.0,2009-02-02T01:09:13Z
18,2004,Bud Light,True,True,False,False,False,True,True,3739.0,115.0,1.0,59.0,2014-02-21T23:23:43Z
19,2020,Doritos,True,True,False,True,True,True,False,1990447.0,10717.0,576.0,319.0,2020-01-29T17:28:54Z
20,2007,Bud Light,True,True,False,False,True,False,False,72997.0,86.0,30.0,33.0,2008-09-06T18:41:39Z
21,2020,Pepsi,False,True,False,True,False,False,False,29219.0,146.0,38.0,29.0,2020-01-30T18:32:01Z
22,2019,Hynudai,True,False,True,True,False,False,False,38968.0,216.0,15.0,0.0,2019-01-30T15:31:08Z
23,2009,Budweiser,False,True,True,False,False,True,False,302143.0,527.0,15.0,36.0,2009-02-02T02:09:00Z
24,2011,Kia,True,True,False,False,True,False,True,36832.0,200.0,7.0,12.0,2011-02-04T18:09:52Z
